time,latitude,longitude,depth,mag,magType,magNst,0,1
2020-10-29T02:14:06.497Z,44.2179,-115.0711,19.24,3.3,ml,100.0,10 km W of Stanley,Idaho
2020-10-29T01:40:06.849Z,31.6608,-104.3279,1.78,3.8,ml,86.0,57 km S of Whites City,New Mexico
2020-10-29T01:03:27.121Z,36.46316147,-98.76867676,2.2890253069999997,2.57,ml,42.0,16 km SE of Waynoka,Oklahoma
2020-10-29T00:36:23.060Z,32.8293333,-115.93983329999999,11.85,2.52,ml,26.0,12km NNE of Ocotillo,CA
2020-10-28T20:27:39.030Z,38.7631683,-122.71266940000001,1.47,2.58,md,26.0,2km SW of Anderson Springs,CA
2020-10-28T20:22:58.700Z,36.459,-90.85700000000001,3.69,2.6,md,6.0,5 km NE of Maynard,Arkansas
2020-10-28T18:14:30.080Z,33.5041667,-116.46,5.72,2.61,ml,28.0,21km ESE of Anza,CA
2020-10-28T14:07:37.455Z,31.6882,-104.1339,5.0,3.9,mb,6.0,50 km W of Mentone,Texas
2020-10-28T10:11:27.320Z,36.4536667,-90.8643333,3.42,2.54,md,4.0,4 km NE of Maynard,Arkansas
2020-10-28T00:23:06.426Z,31.6521,-104.2934,5.0,2.5,ml,92.0,58 km S of Whites City,New Mexico
2020-10-27T23:18:51.850Z,36.4528333,-117.96133329999999,7.04,2.82,ml,23.0,18km SSE of Lone Pine,CA
2020-10-27T20:48:01.566Z,31.7195,-104.1274,11.24,2.7,ml,98.0,50 km W of Mentone,Texas
2020-10-27T19:22:43.900Z,36.6015,-121.05766670000001,12.69,3.29,mw,4.0,11km NE of Pinnacles,CA
2020-10-27T15:23:00.889Z,38.0359,-96.8806,5.0,2.6,mb_lg,40.0,6 km S of Burns,Kansas
2020-10-27T08:20:48.100Z,44.411,-115.22083329999998,11.47,2.61,ml,16.0,31 km NW of Stanley,Idaho
2020-10-27T05:46:54.630Z,44.54,-115.25516670000002,13.15,3.19,ml,27.0,43 km NW of Stanley,Idaho
2020-10-27T05:45:59.765Z,38.1833,-117.8677,9.9,3.1,ml,16.0,31 km SE of Mina,Nevada
2020-10-27T01:26:16.840Z,34.8598333,-116.339,5.11,3.3,ml,286.0,22km NW of Ludlow,CA
2020-10-27T00:02:18.930Z,36.4393333,-90.8415,7.92,2.53,md,6.0,5 km ENE of Maynard,Arkansas
2020-10-26T17:04:57.041Z,38.1112,-118.1524,1.8,2.6,ml,14.0,31 km S of Mina,Nevada
2020-10-26T13:38:36.600Z,38.5575,-122.306,9.35,3.46,mw,3.0,13km E of Angwin,CA
2020-10-26T10:41:32.598Z,38.1566,-117.8779,8.3,2.7,ml,19.0,32 km SE of Mina,Nevada
2020-10-26T09:28:32.508Z,44.5842,-115.2489,8.3,2.9,ml,44.0,46 km SSE of Yellow Pine,Idaho
2020-10-26T07:24:21.030Z,34.8645,-116.33966670000001,5.08,2.63,ml,23.0,23km NW of Ludlow,CA
2020-10-26T06:08:55.858Z,38.7355,-97.0384,5.0,3.0,mb_lg,99.0,6 km NNE of Hope,Kansas
2020-10-26T00:07:03.060Z,36.4331667,-90.829,11.8,2.57,md,16.0,6 km ENE of Maynard,Arkansas
2020-10-25T22:54:03.060Z,47.2935,-113.1578333,21.77,2.59,ml,13.0,27 km ENE of Seeley Lake,Montana
2020-10-25T21:44:50.984Z,38.9397,-96.9923,10.0,2.5,mb_lg,2.0,4 km SE of Chapman,Kansas
2020-10-25T13:13:43.755Z,38.1567,-117.9507,9.8,2.7,ml,17.0,29 km SSE of Mina,Nevada
2020-10-25T12:55:53.270Z,32.9216667,-117.67433329999999,17.85,2.58,ml,161.0,38km WSW of Encinitas,CA
2020-10-25T03:08:32.000Z,36.5165,-81.0826667,1.42,2.81,md,23.0,3 km ENE of Sparta,North Carolina
2020-10-25T00:32:20.620Z,35.6216667,-117.5735,8.59,2.71,ml,68.0,9km E of Ridgecrest,CA
2020-10-24T23:06:50.570Z,36.0354996,-120.5960007,4.89,2.57,md,34.0,21km NW of Parkfield,CA
2020-10-24T22:44:02.333Z,38.1671,-118.0696,5.8,2.9,ml,16.0,25 km S of Mina,Nevada
2020-10-24T20:12:21.763Z,44.5325,-115.2539,16.93,2.5,ml,32.0,43 km NW of Stanley,Idaho
2020-10-24T19:37:44.814Z,44.306000000000004,-115.1707,17.32,3.4,ml,116.0,20 km WNW of Stanley,Idaho
2020-10-24T19:27:03.060Z,32.3905,-115.2375,11.73,2.83,ml,13.0,6km NW of Delta,"B.C., MX"
2020-10-24T12:27:35.140Z,33.9045,-117.62016670000001,3.66,2.56,ml,36.0,6km NW of Corona,CA
2020-10-24T10:17:55.850Z,38.767166100000004,-122.6973343,2.13,2.9,md,54.0,1km SSW of Anderson Springs,CA
2020-10-24T10:11:09.314Z,25.9108,-110.3777,10.0,4.7,mb,132.0,97 km E of Loreto,Mexico
2020-10-24T09:33:28.053Z,39.6965,-105.6765,1.12,2.5,ml,57.0,2 km ESE of Georgetown,Colorado
2020-10-24T07:19:25.360Z,44.1266667,-115.09416670000002,9.53,2.5,ml,11.0,16 km SW of Stanley,Idaho
2020-10-24T06:53:39.950Z,39.366,-123.2425,7.53,2.51,md,45.0,11km ESE of Willits,CA
2020-10-24T06:13:38.684Z,38.1827,-117.7672,9.0,2.8,ml,18.0,37 km SE of Mina,Nevada
